type,product_internal_id,product_sku,product_name,product_price,product_compare_to_price,product_is_inventory_tracked,product_quantity,product_quantity_out_of_stock_behaviour,product_low_stock_notification_quantity,product_quantity_minimum_allowed_for_purchase,product_quantity_maximum_allowed_for_purchase,product_is_available,product_media_main_image_url,product_media_main_image_alt,product_description,product_category_1,product_is_featured,product_is_featured_order_by,product_brand,product_upc,product_ribbon_text,product_ribbon_color,product_subtitle,product_weight,product_is_shipping_required,product_tax_class_code,product_seo_title,product_seo_description,product_related_item_ids,product_related_item_skus,product_related_items_random,product_related_items_random_category,product_related_items_random_number_of_items,product_option_name,product_option_type,product_option_is_required,product_option_value,product_option_markup,product_option_is_default_option_selection,product_option_swatch_hex_value,product_option_swatch_image,product_option_swatch_selector_is_image,product_variation_option_Black,product_variation_option_Colour,product_variation_option_Diameter,product_variation_option_Flavour,product_variation_option_Size,product_variation_option_Type,product_variation_sku,category_internal_id,category_path,category_is_available,category_description,category_seo_title,category_seo_description,category_image,category_image_alt,category_order_by,source_store_id,url
product,809016332,841269193573 - Base,100% Airmatic Gloves,40.00,,false,0,,1,,,true,,,,Clothing,true,1,100%,,,,,0.0,true,default,100% Airmatic Gloves,,,,false,,5,,,,,,,,,,,,,,,,,,,,,,,,,,129297501,https://v0-cranks.vercel.app/shop#!/100-Airmatic-Gloves/p/809016332
product_option,809016332,841269193573 - Base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Colour,DROPDOWNLIST,false,Black,0.00,true,,,,,,,,,,,,,,,,,,,,129297501,
product_option,809016332,841269193573 - Base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Colour,DROPDOWNLIST,false,Blue,0.00,false,,,,,,,,,,,,,,,,,,,,129297501,
product_option,809016332,841269193573 - Base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Colour,DROPDOWNLIST,false,Sand,0.00,false,,,,,,,,,,,,,,,,,,,,129297501,
product_option,809016332,841269193573 - Base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Colour,DROPDOWNLIST,false,Fluro Yellow,0.00,false,,,,,,,,,,,,,,,,,,,,129297501,
product_option,809016332,841269193573 - Base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Colour,DROPDOWNLIST,false,Red,0.00,false,,,,,,,,,,,,,,,,,,,,129297501,
product_option,809016332,841269193573 - Base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Size,DROPDOWNLIST,false,Small,0.00,true,,,,,,,,,,,,,,,,,,,,129297501,
product_option,809016332,841269193573 - Base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Size,DROPDOWNLIST,false,Medium,0.00,false,,,,,,,,,,,,,,,,,,,,129297501,
product_option,809016332,841269193573 - Base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Size,DROPDOWNLIST,false,Large,0.00,false,,,,,,,,,,,,,,,,,,,,129297501,
product_option,809016332,841269193573 - Base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Size,DROPDOWNLIST,false,X Large,0.00,false,,,,,,,,,,,,,,,,,,,,129297501,
product_option,809016332,841269193573 - Base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Size,DROPDOWNLIST,false,XX Large,0.00,false,,,,,,,,,,,,,,,,,,,,129297501,
product_variation,809016332,841269193573 - Base,,40.00,,true,0,SHOW,1,,,,,,,,,,,,,,,0.0,true,,,,,,,,,,,,,,,,,,,Black,,,Small,,841269193573,,,,,,,,,,129297501,https://v0-cranks.vercel.app/shop#!/100-Airmatic-Gloves/p/809016332/variation=497491273
product_variation,809016332,841269193573 - Base,,40.00,,true,1,SHOW,1,,,,,,,,,,,,,,,0.0,true,,,,,,,,,,,,,,,,,,,Black,,,Medium,,841269183451,,,,,,,,,,129297501,https://v0-cranks.vercel.app/shop#!/100-Airmatic-Gloves/p/809016332/variation=497491274
product_variation,809016332,841269193573 - Base,,40.00,,true,0,SHOW,1,,,,,,,,,,,,,,,0.0,true,,,,,,,,,,,,,,,,,,,Black,,,Large,,841269183468,,,,,,,,,,129297501,https://v0-cranks.vercel.app/shop#!/100-Airmatic-Gloves/p/809016332/variation=497491275
product_variation,809016332,841269193573 - Base,,40.00,,true,0,SHOW,1,,,,,,,,,,,,,,,0.0,true,,,,,,,,,,,,,,,,,,,Black,,,X Large,,841269183475,,,,,,,,,,129297501,https://v0-cranks.vercel.app/shop#!/100-Airmatic-Gloves/p/809016332/variation=497491276
product_variation,809016332,841269193573 - Base,,40.00,,true,0,SHOW,1,,,,,,,,,,,,,,,0.0,true,,,,,,,,,,,,,,,,,,,Black,,,XX Large,,841269183482,,,,,,,,,,129297501,https://v0-cranks.vercel.app/shop#!/100-Airmatic-Gloves/p/809016332/variation=497491277
